"%s %s will expire after %s day(s)","%s %s will expire after %s day(s)"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","There are <a href=""%s""><strong>%s items</strong></a> in your cart."
"There is <a href=""%s"">1 item</a> in your cart.","There is <a href=""%s"">1 item</a> in your cart."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","There is <a href=""%s""><strong>1 item</strong></a> in your cart."
"The points expiration notification has been saved","The points expiration notification has been saved"
"The points expiration notification has been removed","The points expiration notification has been removed"
"The subscription has been removed","The subscription has been removed"
"The subscription has been saved","The subscription has been saved"
"This action is unrecoverable and will set all customers' points balance to 0","This action is unrecoverable and will set all customers' points balance to 0"
"This rule no longer exists","This rule no longer exists"
"To Date","To Date"
"total amount","total amount"
"Total Due","Total Due"
"Total Items Quantity","Total Items Quantity"
"Total of %s record(s) were updated.","Total of %s record(s) were updated."
"Total Paid","Total Paid"
"total quantity","total Quantity"
"Total Refunded","Total Refunded"
"Total Weight","Total Weight"
"To:","To:"
"To","To"
"Transactions History","Transactions History"
"Transaction # %s | %s","Transaction # %s | %s"
"Transaction(s) successfully created","Transaction(s) successfully created"
"Transaction(s) successfully reseted","Transaction(s) successfully reseted"
"Transactions","Transactions"
"Unable to add points for invoice of order: %s","Unable to add points for invoice of order: %s"
"Unable to convert points into currency to show up in summary section of user account page.","Unable to convert points into currency to show up in summary section of user account page."
"Unable to find a page to delete","Unable to find a page to delete"
"Unable to find item to save","Unable to find item to save"
"Unable to send balance update email.","Unable to send balance update email."
"Unable to send %s expiration email.","Unable to send %s expiration email."
"Update Points","Update Points"
"Update Reward Points Balance","Update Reward Points Balance"
"Use my %s","Use my %s"
"View Transaction","View Transaction"
"Websites","Websites"
"Website","Website"
"What is it?","What is it?"
"Yes","Yes"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"You haven't sent any invitation yet","You haven't sent any invitation yet"
"You shouldn't insert any links in the text - they will be added automatically.","You shouldn't insert any links in the text - they will be added automatically."
"Your current balance is %s %s %s.","Your current balance is %s %s %s."
"Zero transaction amount","Zero transaction amount"
"ZIP","ZIP"
"Reward for participating in poll","Reward for participating in poll"
"Reward for registration","Reward for registration"
"Reward for signing up to newsletter","Reward for signing up to newsletter"
"Reward for tagging product %s","Reward for tagging product %s"
"Reward for registration of invited user %s","Reward for registration of invited user %s"
"Reward for order #%s","Reward for order #%s"
"Reward for order %s#%s%s","Reward for order %s#%s%s"
"Reward for invited user placed order","Reward for invited user placed order"
"Spent on order #%s","Spent on order #%s"
"Spent on order %s#%s%s","Spent on order %s#%s%s"
"Reward for reviewing product %s","Reward for reviewing product %s"
"Transaction expired #%s","Transaction expired #%s"
"Activate Coupon","Activate Coupon"
"Activation Count","Activation Count"
"Add New Coupon","Add New Coupon"
"Coupon Activation","Coupon Activation"
"Coupon cannot be used today","Coupon cannot be used today"
"Coupon Code","Coupon Code"
"Coupon Information","Coupon Information"
"Coupon is inactive","Coupon is inactive"
"Coupon Name","Coupon Name"
"Coupon # %s","Coupon # %s"
"Coupon was activated","Coupon was activated"
"Coupon was NOT activated","Coupon was NOT activated"
"Enter coupon code here:","Enter coupon code here:"
"Invalid coupon code","Invalid coupon code"
"Item was successfully saved","Item was successfully saved"
"Please, enter a coupon code","Please, enter a coupon code"
"Points Amount","Points Amount"
"Reward Coupon","Reward Coupon"
"Reward Coupons","Reward Coupons"
"Uses per Coupon","Uses per Coupon"
"You cannot activate this coupon twice","You cannot activate this coupon twice"
"You cannot use this coupon on this website","You cannot use this coupon on this website"
"Сoupon Name","Сoupon Name"
"Coupon with this code is already exists","Coupon with this code is already exists"
"Coupon was successfully deleted","Coupon was successfully deleted"
"Unable to find a coupon to delete","Unable to find a coupon to delete"
"Total of %d record(s) were successfully removed","Total of %d record(s) were successfully removed"
"Please, wait %s seconds before submitting","Please, wait %s seconds before submitting"
"Are you sure?","Are you sure?"
"Coupon activation period has expired","Coupon activation period has expired"
"Coupon is not active yet","Coupon is not active yet"
"The limit of activations of this coupon is reached","The limit of activations of this coupon is reached"
"You must be included to another group of customers to activate this coupon","You must be included to another group of customers to activate this coupon"
"Your broadcast link:","Your broadcast link:"
"For Video Testimonials","For Video Testimonials"
"For <a href=""http://ecommerce.aheadworks.com/magento-extensions/video-testimonials.html"">Video Testimonials</a>","For <a href=""http://ecommerce.aheadworks.com/magento-extensions/video-testimonials.html"">Video Testimonials</a>"
"Video Testimonial upload","Video Testimonial upload"
"For Video Testimonials points/day limit","For Video Testimonials points/day limit"
"Amount available for paying at checkout by points, %","Amount available for paying at checkout by points, %"
"Points awarded to customers for their referral's purchases","Points awarded to customers for their referral's purchases"
"Points awarded to customers for their referral's purchases (fixed points amount)","Points awarded to customers for their referral's purchases (fixed points amount)"
"Points awarded to customers for their referral's purchases (% from purchase sum)","Points awarded to customers for their referral's purchases (% from purchase sum)"
"Reward point(s)","Reward point(s)"
"Coupons","Coupons"
"New coupon","New coupon"
"Customer’s birthday","Customer’s birthday"
"Apply earn rate if rule matched","Apply earn rate if rule matched"
"Apply earn rate if rule matched ""Promotions/Points and Rewards/Reward Rules""","Apply earn rate if rule matched ""Promotions/Points and Rewards/Reward Rules"""
"leave empty to disable this feature","leave empty to disable this feature"
"Priority is arranged in the ascending order, 0 the highest","Priority is arranged in the ascending order, 0 the highest"
"Can use points with Magento coupon","Can use points with Magento coupon"
"Enable reward rules functionality","Enable reward rules functionality"
"How to calculate points","How to calculate points"
"Canceled earned points on order refund","Canceled earned points on order refund"
"Refund spent points on order refund or cancellation","Refund spent points on order refund or cancellation"
"Aw Points balance","Aw Points balance"
"For customer birthday","For customer birthday"
"Before Tax","Before Tax"
"After Tax","After Tax"
"Points and Rewards","Points and Rewards"
"Cancellation of order %s","Cancellation of order %s"







